INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/058 | Unfinished | 14179 | 14011.34369 | 40.884 | 602.549 | 0.1884654257
10items/054 | Unfinished | 10272 | 10074.86235 | 26.659 | 602.897 | 0.04397559352
10items/074 | Unfinished | 10772 | 10560.42199 | 11.503 | 601.818 | 0.04436567985
10items/060 | Unfinished | 15190 | 14857.8936 | 18.92 | 602.721 | 0.05699335597
10items/078 | Unfinished | 10530 | 10265.57404 | 399.346 | 600.802 | 0.04502746556
10items/070 | Unfinished | 17490 | 17179.22202 | 13.35 | 602.505 | 0.04640916642
10items/077 | Unfinished | 11880 | 11651.85805 | 13.007 | 602.447 | 0.0452102311
10items/056 | Unfinished | 20058 | 19715.95614 | 6.406 | 603.865 | 0.04161001835
10items/051 | Unfinished | 10916 | 10637.62983 | 11.735 | 604.415 | 0.04947127309
10items/076 | Unfinished | 10146 | 9876.420617 | 19.97 | 603.146 | 0.04494437017
10items/068 | Unfinished | 13913 | 13580.84755 | 418.089 | 603.553 | 0.05529704131
10items/072 | Unfinished | 14395 | 14040.01825 | 17.06 | 603.858 | 0.05215852987
10items/081 | Unfinished | 13197 | 13004.68549 | 395.483 | 601.614 | 0.2865579547
10items/096 | Optimum found | 11596 | 11595.9888 | 213.704 | 219.576 | 0.0194982877
10items/085 | Optimum found | 9848 | 9847.990737 | 110.256 | 523.856 | 0.02154553216
10items/082 | Unfinished | 13497 | 13150.30804 | 508.853 | 601.627 | 0.04400016274
10items/083 | Unfinished | 15630 | 15474.093 | 21.418 | 602.659 | 0.04009653628
10items/084 | Unfinished | 15650 | 15361.02408 | 556.495 | 602.325 | 0.2517449101
10items/086 | Unfinished | 9998 | 9842.779388 | 18.209 | 602.283 | 0.2418762343
10items/087 | Unfinished | 21243 | 21038.26297 | 434.051 | 602.418 | 0.04267800786
10items/088 | Unfinished | 11038 | 10674.07095 | 64.528 | 600.738 | 0.04003714025
10items/089 | Unfinished | 14185 | 14011.72911 | 69.324 | 601.452 | 0.1434291042
